ID,Title,Full title,Title in Latin characters,Text is presented as original,Information to contradict original text,References for declaring as original text,Notes on declaring as original text,Text expanded in translations,Text expanded in new edition,Text is presented as translation,Information to contradict translation,References for declaring as translation,Name of original text,Author of original text,Notes on declaring as translation,Text is presented as new edition,Information to contradict new edition,References for declaring as new edition,Name of old text,Author of old text,Notes on declaring as new edition,Are there sources mentioned in the book itself,List of sources mentioned in the book,References for sources mentioned in the book,Are there sources not mentioned in the book,List of sources not mentioned in the book,References for sources not mentioned in the book,Quotes from Jewish sources,Quotes from non-Jewish sources,Motto,Notes on type of book,Type of translation,Type of original text,Title of the original text as it appeared originally,Title of the original text as it appears elsewhere,References for title of the original text as it appears elsewhere,Bibliographical citations for translation,Original language of text,Year of publication of original text,Original publisher,Place of publication of original text,Name of author of the original text as it appeared originally,Name of author of the original text as it appears elsewhere,References for name of author of the original text as it appears elsewhere,Other names for the author,Notes on translation,"Type of new edition, as specified in the text",References for new edition as specified in text,Notes on new edition as specified in text,"Type of new edition, as specified elsewhere",References for new edition as specified elsewhere,Notes on new edition as specified elsewhere,Name of the old text as it appears in the book,Name of the old text's author as it appears in the book,Additional names for the old text's author as it appears in the book,Name of the old text's author as it appears in other sources,Notes on new edition,Number of volumes published,Number of examined volume,Names of other published volumes,Names of planned volumes that were not published,Part of a series of books,Name of series,Printed originally with other books,Names of other books,Notes on volumes,Name of publisher,Year of publication as it appears in the book,Hebrew year of publication as it appears in the book,Gregorian year of publication as it appears in the book,Place of publication as it appears in the book,Format of publication date,Price of book as it appears in the book,Year of publication as it appears in other sources,Hebrew year of publication as it appears in other sources,Gregorian year of publication as it appears in other sources,Place of publication as it appears in other sources,References for publication information,Notes on publication,Total number of editions,Last known edition,References for editions,Notes on editions,Number of languages,Language in book,Appearance of words in other language,Alignment of text,Typography,Language of footnotes,Location of footnotes,Fonts,Is there a preface,Notes on preface,Is there an epilogue,Notes on afterword,Is there a table of contents,Notes on index,Number of pages,"Height of book, in cm","Width of book, in cm",Are there illustrations/diagrams,Notes on illustrations/diagrams,Pages in which illustrations/diagrams appear,Illustration/diagram for book,Notes on book structure,Are there personal addresses,Notes on personal addresses,Are there rabbinical approbations,Notes on approbations,Are there recommendations,Notes on recommendations,Are there dedications,Notes on dedications,Are there thanks,Notes on thanks,Is there an appeal to sell subscriptions,Notes on appeal to sell subscriptions,Is there a list of subscribers,Notes on list of subscribers,Is there a list of printers,Notes on list of printers,Is there a list of proofreaders,Notes on list of proofreaders,Is there a list of funders,Notes on list of funders,Is there a list of sellers,Notes on list of sellers,Notes on book mentions,Main models,Secondary models,Notes on textual models,Topic,Notes on topics,Target audience as described in the book,Notes on target audience,Evidence about book production,Contacts with other people,Contacts with official agents,Contemporary references to the book,Contemporary disputes about the book,Censorship,Bans,Later references to the book,Original sources which mention the book,Mentions in reviews,References for preservation in the public consciousness,Partial publication of the book in other texts,General notes on target audience,National Library of Hebrew University catalog number,Library of Bar Ilan University catalog number,Library of Tel Aviv University catalog number,National Library of Berlin catalog number,Frankfurt University Library catalog number,Widener Library of Harvard catalog number,New York Public Library catalog number,British Museum catalog number,Catalog number at other libraries,Book is not available,Notes on book availability,Link to digital book,Notes on catalog numbers,Secondary sources used by researchers,Copy of book used,Studies about the book,Notes on references
book077,Napoleon oder über den Fortschritt der Regierung,Napoleon oder über den Fortschritt der Regierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gottlieb August Lange,1808,תקסט,1808,,modern,,,,,,,,1,,,,monolingual,,,,,,,,TRUE,,FALSE,,TRUE,"1. Idee über den Zweck der Regierung überhaupt

2. Vom Ursprunge der Regierung

3. Erste Entwickelungsstufe der Regierung

4. Zweite Entwickelungsstufe der Regierung

5. Dritte Entwickelungsstufe der Regierung

6. Über Italiens und Deutschlands erlittenes Schicksal

7. Deutschlands Aussichten

8. Über Preussens Schicksal

9. Russlands Verhältniss zur zeitigen Entwickelungsstufe der Regierung

10. Von den Verhältnissen Englands zur zeitigen Entwickelungsstufe der Regierung

11. Andeutung über das künftige Schicksal europäischer Staaten","[4], XII, 140",19,12,FALSE,,,,,FALSE,,FALSE,,FALSE,,TRUE,"Karl Theodor von Dalberg (1744-1817), Fürst Primas des Rheinbundes",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,"Scientific literature, Essay",,,,,,,"Entstanden im November 1807, wie Widmung an Dalberg zeigt.",,,,,,,,,,,,,,,,Rb 3080,18/31964,,,,,,,,,Grab 1977,SBBKP: Rb 3080,,
book078,"Ode à Sa Majesté Jerôme Napoléon, roi de Westphalie","Ode à Sa Majesté Jerôme Napoléon, roi de Westphalie: tres-humblement présenté au jour glorieux de son entrée solemnelle dans la ville de Cassel par la Corporation des Juifs de la Hesse",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imprimerie de la Cour,,,,Kassel,don't know,,1807,,,,,,,,,,trilingual,"German,Hebrew,French",,left,consecutive,,,"square with punctuation,Gothic,Latin",FALSE,,FALSE,,FALSE,,[7] ע',32,20.5,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,,,Patriotism,,,,,,,,,,,,,,,,,R 2+= 75 A 394,,,,,,,,,,,,,,עותק בספריה הלאומית,,"נטלי:

IUL

ספרייה לאומית: R 2+= 75 A 394

הוחלט: שייך: יכול להיות קשור לביה""ס בקאסל."
book079,Peri Hachedwah,"Peri Hachedwah: Ein hebräisches Gedicht, nebst dreyen besonders verfertigten Psalmen, zum Absingen, für uns Judenschaft zu Zerbst",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1798,,,Leipzig,modern,,,,,,,,,,,,bilingual,"German,Hebrew",English,left,"consecutive,parallel","German,Hebrew",bottom of pages,"square with punctuation,Gothic",FALSE,,FALSE,,FALSE,,68 ע' כולל שער,22,14,TRUE,עיטור בעמוד השער.,,,,FALSE,,FALSE,,FALSE,,TRUE,"לשון עמוד ההקדשה:

Dem Durchlauchtigsten Fürsten und Herrn, Herrn Leopold Friedrich Franz, regierenden Fürsten zu Anhalt-Dessau und nun auch zu Zerbst, unserm Durchlauchtigsten Fürsten Gnädigsten Fürsten und Herrn mit tiefster Unterthänigkeit gewidmet, verfertigt, und auch übersetzt von Höchstderoselben treugehorsamst ersterbenden Meyer Benjacauff. Zerbst. im Februar, 1798.",FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Poems,Informative text,,"Hebrew,Patriotism,Study of Languages",,"general Jewish,general non-Jewish,political authorities","החיבור מיועד למספר קהלי יעד:
המחבר פונה ישירות לשליט - בנוסף להקדשה ישנו קטע נוסף:

Durchlauchtigster Fürst, Gnädigster Fürst und Herr!

המחבר פונה גם ישירות לקוראים אחרים (דברים המיועדים גם לשליט):

Nun auch ein Paar Worte an dich, Günstiger Leser!
Bevor ich Dir einen einzigen Ton des folgenden Gedichtes angeben kann, muß ich Dich den silbernen Harfenklang der Durchlauchtigsten erhabnen Stimme, unsers huldreichsten Fürsten hören lassen, mit der Sr. Durchlaucht uns, Judas Stamm so hoch begnadiget…

ומצטט דברי ברכה ששלח השליט אל נתיניו היהודים.
אחרי דברי השירה ישנו נספח המיועד ל-

Wißbegierige und aufmerksame Leser! Besonders aber Forscher und Kundige der Hebräischen Sprache!

קהל שעשוי לכלול הבראיסטים, לא יהודים.",,,,,,,,,,,,,,S 31 V 1275,,,,,,,,,,,,,,עותק בספריה הלאומית,,"נטלי:

וינוגרד 1993

IUL

ספרייה לאומית: S 31 V 1275

בגרמנית ובעברית עם שער גרמני."
book080,Predigt des Herrn Oberabbiners Rabbi Salomon Kohn,"משאת תודה

Predigt des Herrn Oberabbiners Rabbi Salomon Kohn, gehalten bey Gelegenheit der Friedensfeier der jüdischen Gemeine[!] in Fürth, den 10ten Nov. 1809. Ins Deutsche übertragen von D. Ottensoßer und H. H. Schwabacher","Masʼat todah

Predigt des Herrn Oberabbiners Rabbi Salomon Kohn, gehalten bey Gelegenheit der Friedensfeier der jüdischen Gemeine[!] in Fürth, den 10ten Nov. 1809. Ins Deutsche übertragen von D. Ottensoßer und H. H. Schwabacher",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תקע,1809,Fürth,modern,,,,,,,,,,,,bilingual,"German,Hebrew",,right and left,consecutive,German,bottom of pages,"Gothic,Rashi font",FALSE,"דברי הפתיחה:

""כתיב (מלכים א' ח' כ""ב) ויעמוד שלמה לפני מזבח ה', נגד כל קהל ישראל, ויפרוש כפיו השמים. ומבואר שם, שנתן הודיה על חסד האל על העבר, והתפלל על העתיד. כן אנכי עומד לפני ארון ה', נגד כל קהל ישראל, ליתן שבח והודיה לאל יתברך ויתעלה, על חסדו הגדול העבר, שנתן שלום בארץ, ולהתפלל על אדוננו המלך יר""ה, ועל כל בית מלכותו, על העתיד, לטוב להם כל הימים.""",FALSE,,FALSE,,"ח ד', 16 ע'  כולל שער",17,10,,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Speech,,"הטקסט הינו דרשה. בראש הטקסט כתוב: ""תוכן הדרוש"".

חלק מתפילה קהילתית לכבוד המלך.","Important personalities in culture,Patriotism",,"general Jewish,general non-Jewish,political authorities",,,,,,,,,,,,,,,R 8= 75 A 1216,,,,,,,,,,,,,,עותק בספריה הלאומית,,"נטלי:

IUL

ספרייה לאומית: R 8= 75 A 1216

הערה: ה""מחבר"" (כהן, משלם זלמן) הינו רב. לשקול האם לשנות את אופן ציונו (כמחבר) בתכנה."
book081,Prieres ... a l'usage des Juifs portugais ou espagnols 1,"Prieres ... a l'usage des Juifs portugais ou espagnols: ...  traduites de l'hebreu, auxquelles on a ajoute des notes elementaires... par Mardochee Venture. [T. 1] Prieres journalieres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Lambert,,,,,,,1772,,,Paris,,,,,,,,,,,,,,,,,,,,,"[3], xxiv,  570 ע'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://babel.hathitrust.org/cgi/pt?id=hvd.hw5nsi;view=1up;seq=9,,,,,"נטלי:

הרצברג תשל""א, עמ' 141.

IUL

עותק בספריה הלאומית, גם בבר אילן: A312=4 VEN 1772, נדיר.

לפי שכטר (Ronald Shechter, Obstinate Hebrews), הספר יצא בניס (Nice). בעמ' 278 הערה 42 מציין שכטר כי כלולה בספר תפילה שבועית (שנאמרה בשבת) לשלום מלך צרפת. 

זהו הכרך הראשון בתרגום ספרי התפילה לצרפתית. כרך ראשון זה ""הכיל את התפילות לכל ימות השנה ולשבת, כמו גם חומר-עזר מסוים"" (הרצברג, עמ' 141).

על קהל היעד לו ציפה ונטורה, ראו הרצברג, עמ' 141."
book082,Prieres ... a l'usage des Juifs portugais ou espagnols 2,"Prieres ... a l'usage des Juifs portugais ou espagnols: traduites de l'hebreu, auxquelles on a ajoute des notes elementaires ... par Mardochee Venture. T. 2: Prieres de Ros-haschana et Kippour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Lambert,,,,,,1773,,,,Paris,,,,,,,,,,,,,,,,,,,,,"[3], 752 ע'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://babel.hathitrust.org/cgi/pt?id=hvd.hw5nsj;view=1up;seq=7,,,,,"נטלי:

הרצברג תשל""א

IUL

עותק בספריה בבר אילן.

זהו כרך שני בתרגום ספרי התפילה לצרפתית. כרך זה ""הכיל את התפילות לימים נווראים"" (הרצברג, עמ' 141)."
book083,Prieres ... a l'usage des Juifs portugais ou espagnols 3,"Prieres ... a l'usage des Juifs portugais ou espagnols: ... traduites de l'hebreu, auxquelles on a ajoute des notes elementaires... par Mardochee Venture. T. 3: Prieres des festes de Pessah, de Sebouhot et de Souccot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Lambert,,,,,,,1774,,,Paris,,,,,,,,,,,,,,,,,,,,,"[3], 676 ע'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"נטלי:

הרצברג תשל""א.

IUL

זהו חלק שלישי בתרגום ספרי התפילות לצרפתית.

כרך זה ""הכיל את סדר-התפילות לשלש-הרגלים"" (הרצברג, עמ' 141)."
book084,Prieres ... a l'usage des Juifs portugais ou espagnols 4,"Prieres ... a l'usage des Juifs portugais ou espagnols: traduites de l'hebreu, auxquelles on a ajoute des notes elementaires ... par Mardochee Venture. T. 4: Prieres des jours de jeune",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Lambert,,,,,,,1783,,,Paris,,,,,,,,,,,,,,,,,,,,,"[3], 532 ע'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"נטלי:

הרצברג תשל""א

IUL

עותק בספריה בבר אילן.

זהו החלק הרביעי של תרגום התפילות לצרפתית, שהופיע לאחר הפסקה של תשע שנים מאז הכרך השלישי. הוא כולל ""תרגום התפילות המיוחדות לתעניות"" (הרצברג, עמ' 141)."
book085,"Prière prononcée le 5 mars 1768 par les Juifs avignonois & avignonois de Bordeaux, demeurant à Paris","Prière prononcée le 5 mars 1768 par les Juifs avignonois & avignonois de Bordeaux, demeurant à Paris: à l'occasion de la maladie de Sa Majesté la Reine de France, pour demander à Dieu le rétablissement de sa santé, composée par M. Venture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michel Lambert,,,,,,,1768,,,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"נטלי:

הרצברג תשל""א, עמ' 141.

IUL

לפי הקטלוג: טקסט עברי עם תרגום צרפתי."
book086,Recueil de lettres patentes,Recueil de lettres patentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,,,Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"נטלי:

Hertzberg 1968

לפי הרצברג, מדובר באוסף צווים שנתנו מלכי צרפת בנוגע ליהודים. במהדורת 1765, צירף פריירה הקדמה המתארת את תולדותיהם של היהודים הספרדים בצרפת. להוציא הקדמה זו ושינויים אחרים, מהדורה זו דומה מאוד למהדורה קודמת (משנת 1753) שפירסם, קרוב לוודאי, פריירה עצמו. הרצברג, עמ' 60."
book087,Rede am Dankfeste wegen des von Seiner Majestät dem Könige von Westphalen den Unterthanen juedischer Nation ertheilten Buergerrechts,"Rede am Dankfeste wegen des von Seiner Majestät dem Könige von Westphalen den Unterthanen juedischer Nation ertheilten Buergerrechts: gehalten in der Synagoge zu Cassel, den 11. Februar 1808",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hampe - המפה,1808,,,Kassel,modern,,,,,,,,,,,,monolingual,German,,left,consecutive,,,Gothic,FALSE,,FALSE,,FALSE,,15,16.6,11.8,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Speech,Lecture,,"Bourgeoisie,Emancipation",,general Jewish,,,,,,,,,,,,,,,S 98 B744,,,,,,,,,,,,,,S 98 B744,,"AK: JNUL: S 98 B 744

SL: עדכונים והשלמות"
book088,Rede bei der Einweihung des Jakobs-Tempels zu Seesen,Rede bei der Einweihung des Jakobs-Tempels zu Seesen,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waisenhaus-Buchdruckerei in Mainz - בית יתומים בחנות ספרים במיינץ,1810,,,Kassel,modern,,,,,,,,,,,,monolingual,German,,left,consecutive,,,Gothic,FALSE,,FALSE,,FALSE,,16,20.4,12,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Speech,,,"Bourgeoisie,Emancipation",,general Jewish,,,,,,,,,,,,,,,S 2006 B5389,,,,,,,,,,,,,,JNUL: S 2006 B5389,,
book089,Rede bei der Feier der Geburt eines Enkels des Durchlauchtigsten Herzogs von Braunschweig-Lüneburg,"Rede bei der Feier der Geburt eines Enkels des Durchlauchtigsten Herzogs von Braunschweig-Lüneburg: gehalten am 19ten December, 1804 in der Synagoge der jüdischen Gemeinde zu Braunschweig von Levy Helft, Zögling der Jacobssohnschen Schule in Seesen",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vieweg,1804,,,Braunschweig,,,,,,,,,,,,,monolingual,German,,left,consecutive,German,bottom of pages,Gothic,FALSE,,FALSE,,FALSE,,3-8 עמ',19,12,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Manifesto,,"המודל המתאים יותר כאן הוא ""הגיגים"", אבל כיוון שאינו קיים הכי קרוב הוא מניפסט","Patriotism,Religious beliefs","הכותב משבח את עולמו של האל, ובמיוחד את התקופה והמקום שבו הוא חי וזכה ליחס חיובי מצד השלטונות",general - unspecified,,,,,,,,,,,,,,,S 97 B 5531,,,,,,,,,,,,,,"לאומית:
S 97 B 5531",,"טל:

עבדתי על הספר בלאומית ב-2/11/08

לפי אנדראס:

AK: Wolfenbüttel: M: Gn Kapsel 37 (5), Manchmal ebenso als Autor Israel Jakobson ausgewiesen.

אנדראס כתב את כותרת הספר כך:

Gemeinde zu Braunschweig Levy Helft, Zögling der Jacobssohnschen Schule in Seesen

בנוסח שעבדתי עליו שמו של לוי הלפט כלל לא מופיע.

לא ברור לי מאין המידע על הלפט ועל איזה עותק אנדראס עבד, אך השארתי בינתיים את שם המחבר ללא שינוי. יש לבדוק זאת בעתיד."
book090,Rede gehalten am Jubelfeste der israelitischen Hauptschule in Prag den 10. Mai 1812,"Rede gehalten am Jubelfeste der israelitischen Hauptschule in Prag den 10. Mai 1812: von Peter Beer, Lehrer der Moral et. an dieser Hauptschule. Nebst einigen, bei dieser Gelegenheit von M. I. Landau verfaßten, und von Schülern, theils deklamirten und theils abgesungenen Gedichten. Wird zum Besten des jüdischen Waisenhauses, ohne der Wohlthätigkeit Schranken zu setzen, für 1 fl. W. W. verkauft",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,Franz Sommer - פראנץ זאממער,1812,תקעג,1812,Prague,modern,,,,,,,,,,,,monolingual,German,Latin,left,consecutive,German,bottom of pages,Gothic,FALSE,,FALSE,,FALSE,,32,,,,,,,,FALSE,,FALSE,,FALSE,,TRUE,,TRUE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,"Poems, Poems for special occasions, Speech",,Morals,,general Jewish,,,,,,,,,,,"Auszug aus der Rede des Herrn P. Beer, in Sulamit, 1812, S. 157-166. Auszüge von S. 11-20, 20-21, 22-23.",,,,,,,,,,,,,,,,,"Brandeis, I.: Biographie des Dichters, in: M.  I.  Landau's hinterlassene vermischte Schriften. Nebst einer Biographie und dem Bildnis des Verfassers, Prag 1867, S. 197-200; Wurzbach, Constant von: Biographisches Lexikon des Kaiserthums Oesterreich, 1856-1923, S.",ÖNB: 80.Cc.84,,
book091,Rede gehalten in der Versammlung der Gesellschaft zur Unterhaltung einer jüdischen Freyschule,Rede gehalten in der Versammlung der Gesellschaft zur Unterhaltung einer jüdischen Freyschule: Zum Andenken des verstorbenen Directors Dr. Samuel Jacobi den 6ten October 1811. Herausgegeben zum Besten der Freyschule,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eliasar Moses Cohen,1811,תקעב,1811,Copenhagen,modern,,,,,,,,,,,,monolingual,,,,,,,,FALSE,,FALSE,,FALSE,,13,19,11,FALSE,,,,,,,,,,,TRUE,"Dr. Samuel Jacobi (1764 in Jareslow-1811 in Kopenhagen). Biographie S. 5-
Studium in Breslau, Doktorgrad an der Universität Halle, Berlin.
Vizepräsident der Königlich Medizinischen Gesellschaft in Kopenhagen.",,,,,,,,,,,,,,,,,Speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dansk Biografisk Lexikon, vol. IV, S. 619-620.",Universitätsbibliothek Kiel: 5 in Kf 3166,,
book092,Rosenlied der Korahiten,"שיר ידידות

Rosenlied der Korahiten: Bey der hohen Vermählungs-Feyer der Königlichen Prinzen mit den Prinzessinnen v. Meklenb. Strelitz. Gesungen in der Synagoge zu Berlin December 1793","Shir yedidut

Rosenlied der Korahiten: Bey der hohen Vermählungs-Feyer der Königlichen Prinzen mit den Prinzessinnen v. Meklenb. Strelitz. Gesungen in der Synagoge zu Berlin December 1793",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,"הערה בתחילת הספר, הכתובה בגרמנית וכן בגרמנית באותיות עבריות:

Den eingang ausgenommen, gehört gegenwärtige Cantate fast ganz dem ungenannten Korahiten, der dieses schöne Epithalamium in sehr früher Zeit, wahrscheinlich zu den Zeiten Salomo's sang, und welches in die Psalmen (Ps. 45) aufgenommen ist. Die Hauptzüge dieses vortreflichen Gedichts sing geblieben. Hie und da ein kleiner Zusatz, dann und wann eine kleine Wiederholung; einige Veränderung die die Gelegenheit, oder die Sitten des Abendlands, durchaus erfordeten; und Abtheilungen, welche auch in dem Original vorhanden, nur nicht bestimmt angezeigt sind, ist alles was man sich erlaubt hat. Das Lob des Doppelpaars, ist aus einem andern hebräischen lyrischen Gedichte entlehnt, und also auch antic. Durch modernen Putz hat man die liebliche Einfalt nicht zerstören mögen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orientalische Buchdruckerei - חברת חנוך נערים,1793,תקנד,,Berlin,modern,,,,,,,"בעמוד השער בעברית רשום: ""בדפוס חברת חנוך נערים"".

ואילו בעמוד השער בגרמנית רשום:

Berlin, gedruckt bey Johann Friedrich Unger",,,,,bilingual,"German,Hebrew",German with Hebrew letters,left,parallel,,,"square with punctuation,Latin",FALSE,,FALSE,,FALSE,,15 ע' כולל שער,,,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,Poems,,,Patriotism,,"general Jewish,general non-Jewish,political authorities",,,,,,,,,,,,,,,S 31 V 1485,,,,,,,,,,,,,,עותק בספריה הלאומית,,
book093,Réflexions sur la régénération complète des Juifs en France,Réflexions sur la régénération complète des Juifs en France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giguet et Michaud,,,,,,,1806,,,Paris,,,,,,,,,,,,,,,,,,,,,30 ע',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"נטלי:

IUL

הספרייה הלאומית: S 32 V 2044"
book094,Salomo und Joseph II.,Salomo und Joseph II.,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,"Eh Joseph noch den Scepter führte,

Was that Er - ? Er philosophirte.

Und nun seit Er den Scepter führt,

Wird was Er sonst philosophirt,

Mit seltner Weisheit ausgeführt.

Fühlts Völker! Jene güldne Zeit,

Die Plato wünschte, zeigt sich heut.

Den Scepter führt ein Weiser,

Es philosophirt ein Kaiser.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Josef A. I. von Baumeister,1782,תקמג,1782,Vienna,modern,,,,,,,,1,,,,monolingual,German,,left,consecutive,German,bottom of pages,Gothic,TRUE,,,,,,62,,,TRUE,"unbekannt, Microfiche",1,,,FALSE,,TRUE,"""Mit Bewilligung der K.K. Censur""",FALSE,,TRUE,Kaiser Jospeh II.,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,,"Biblical adaptation, Biblical history",,"Edict of toleration,Emancipation,Religious tolerance/ intolerance",,general - unspecified,,,,,,,Bewilligung der K. und K. Zensur,,,,No,,,,,,,,,,,,,,,,,,,,AK: Bayerische Staatsbibliothek: Fiche Austr. 80
book095,Salomon Maimon's Lebensgeschichte 1,Salomon Maimon's Lebensgeschichte 1: Salomon Maimon's Lebensgeschichte. Von ihm selbst geschrieben und herausgegeben von K. P. Moritz. In zwei Theilen.,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,TRUE,Salomon Maimon's Lebensgeschichte,,,,F. Vieweg,1792,,,Berlin,modern,,,,,,,,,,,,monolingual,German,,left,consecutive,,,Gothic,TRUE,,FALSE,,TRUE,,[5] + 292 p,,,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,"Personal writing, Autobiography",,,"Important personalities in Jewish culture,Kabbala,Matchmaking,Rabbinical establishment,Rationalism,Religious beliefs,Religious criticism,Social criticism,Superstitions",,"general Jewish,general non-Jewish",,,,,,,,,,,,,,,,A02  MAI (MAI),,,"MPQ 110, F. 8638-8639",,,,,,,http://resolver.sub.uni-goettingen.de/purl?PPN312359306,,,עותק בבר אילן,,"נטלי:
עבר מאנדראס:
AK: ; Neudruck: SBBPK: 167951; Maimon, GW I, 293-588, e-book: http://dz-srv1.sub.uni-goettingen.de/cache/toc/D34495.html"
book096,Salomon Maimon's Lebensgeschichte 2,Salomon Maimon's Lebensgeschichte 2: Salomon Maimon Lebensgeschichte. Von ihm selbst geschrieben und herausgegeben von K. P. Moritz. Zweiter und letzter Theil,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,TRUE,Salomon Maimon's Lebensgeschichte,,,,F. Vieweg,1793,,,Berlin,modern,,,,,,,,,,,,monolingual,German,French,left,consecutive,German,bottom of pages,Gothic,TRUE,,TRUE,,TRUE,,"[11], 284 p.",,,FALSE,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,,"Personal writing, Autobiography",,,,,"general Jewish,general non-Jewish","בהקדמתו מדבר מימון ישירות אל ""קוראיו"".",,,,,,,,,,,,,,,A092 MAI(MAI),,,"MPQ 110, F. 8638-8639",,,,,,,http://resolver.sub.uni-goettingen.de/purl?PPN31235939X,,,עותק בבר אילן,,"נטלי:
עבר מאנדראס:
AK: SBBPK: Av 96; Neudruck: Maimon, GW I, 293-588 e-book: http://dz-srv1.sub.uni-goettingen.de/cache/toc/D34523.html"
